id,air_date,episode_number,name,overview,runtime,season_number,vote_average,list_of_characters,average_character_popularity
955151,1998-02-05,14,The One with Joey's Dirty Day,"After a three-day fishing trip with his dad, Joey is in a jam when he doesn't have time to take a shower before going to the set of Charlton Heston's new movie.  Rachel, continuing to fawn over clothing shopper Joshua, sets Ross up with her boss's niece Emily when she is unable to take her to the opera. And while Chandler is despondent after his breakup with Kathy, the girls take him to a strip club.",23,4,8.417,"['Mr. Waltham', 'Charlton Heston', 'Joshua Burgin', 'The A.D.', 'The Cigarette Guy', 'Emily Waltham', 'Gunther']",10.953
86483,1998-02-26,15,The One with All the Rugby,"Chandler runs into Janice, and finds her more irritating than ever. Meanwhile, Ross attempts to learn how to play rugby to impress Emily and Monica obsesses over an electric switch in her new apartment.",23,4,8.3,"['Janice', 'Liam', 'Devon', 'Ticket Counter Attendant', 'Emily Waltham', 'Gunther']",8.313333333333333
87731,1998-03-19,16,The One with the Fake Party,"With two days left until Emily's departure back to England, Rachel throws a fake party for her, just so that she can see Joshua outside of work. And a pregnant (vegetarian) Phoebe craves meat.",23,4,8.139,"['Joshua Burgin', 'Emily Waltham', 'Gunther']",14.130333333333333
86413,1998-03-26,17,The One with the Free Porn,Chandler and Joey discover that they're getting a free porno station on their TV. Monica encourages Ross to tell Emily he loves her just before she leaves for London. Phoebe gets some shocking news when she visits her OB-GYN.,23,4,8.389,"['Frank Buffay Jr.', 'Mr. Treeger', 'The Doctor', 'Alice Knight Buffay', 'Emily Waltham']",15.9364
86416,1998-04-02,18,The One with Rachel's New Dress,Rachel has an awkward encounter with Joshua's parents. Phoebe is offered the chance to name one of the triplets. Ross becomes paranoid when Emily goes to London with Susan.,23,4,8.028,"['Joshua Burgin', 'Mr. Burgin', 'Mrs. Burgin', 'Susan Bunch', 'Carol Willick', 'Alice Knight Buffay', 'Emily Waltham', 'Ben Geller']",14.458625
1007808,1998-04-09,19,The One with All the Haste,Ross proposes to Emily. Monica and Rachel try to win their apartment back from Chandler and Joey.,23,4,8.579,"['The Singing Man', 'Emily Waltham', 'Gunther']",7.928
86423,1998-04-16,20,The One with All the Wedding Dresses,"Chandler takes Joey to a sleep clinic when he starts snoring. After Ross asks Monica to pick up Emily's wedding dress, she tries it on and can't stop wearing it. Meanwhile, jealous of Ross's proposal to Emily, Rachel tries to talk Joshua into marriage.",23,4,8.389,"['Joshua Burgin', 'Marjorie', 'The Saleslady', 'Sleep Clinic Worker', 'Gunther']",10.3196
86426,1998-04-23,21,The One with the Invitation,"As Ross and Emily send out wedding invitations, he and Rachel each look back on their relationship together while Joey and Chandler look for a purpose in life.",23,4,7.333,"['Emily Waltham', 'Gunther']",11.591999999999999
86429,1998-04-30,22,The One with the Worst Best Man Ever,"Joey convinces Ross to pick him as his best man instead of Chandler. He throws a great bachelor party, but the next morning he's shocked to find out that the wedding ring is missing and he suspects that the stripper stole it. Meanwhile, Phoebe is experiencing major mood swings due to her pregnancy and the girls decide to throw her a baby shower to cheer her up, but it only makes matters worse.",23,4,8.143,"['The Stripper', 'The Doctor', 'Emily Waltham', 'Gunther']",7.21175
86432,1998-05-07,23,The One with Ross's Wedding,"The gang heads over to London for Ross and Emily's wedding. Joey can't contain his excitement about London which annoys Chandler to no end and results in two of them arguing. While the guys are touring the city, Monica, together with Ross and Emily, visit the chapel where the wedding ceremony is supposed to take place only to find out that it's being torn down prematurely.

Phoebe tries to warn the gang that Rachel is coming to London to tell Ross that she still loves him. After the initial excitement about visiting England dissipates, Joey begins to feel homesick, however, one of the bridesmaids helps him to forget about it. Meanwhile, Ross and Emily's parents get into an argument over the bill for the wedding.",46,4,8.4,"['Jack Geller', 'Sarah, The Duchess of York', 'The Vendor', 'The Gentleman on the Plane', 'The Housekeeper', 'Felicity', 'The Ticket Agent', 'The Waiter', 'The Older Guest', 'Andrea Waltham', 'Steven Waltham', 'The Registrar', 'Emily Waltham', 'Judy Geller']",12.209928571428572
86534,1998-09-24,1,The One After Ross Says Rachel,"In the aftermath of his Freudian slip, Ross tries to rescue his marriage with Emily.  Meanwhile, Chandler and Monica try and find a moment alone in order to continue their affair while overseas.",23,5,8.67,"['Jack Geller', 'Andrea Waltham', 'Steven Waltham', 'The Registrar', 'Emily Waltham', 'Judy Geller']",15.978333333333333
86535,1998-10-01,2,The One with All the Kissing,"Ross continues to try and mend his marriage to Emily. When Chandler accidentally kisses Monica in front of everyone before leaving for work, he tries to recover by kissing Rachel and Phoebe as well. Meanwhile, Phoebe starts getting irritated by everyone's London stories.",23,5,8.7,"['Dave', 'Gunther']",7.234500000000001
86698,1998-10-08,3,The One Hundredth,"Phoebe is rushed to the hospital for the birth of her brother's triplets. While there, Joey winds up with severe sympathy pains that turn out to be kidney stones. Meanwhile, Rachel tries to set Monica up on a date with a male nurse.",23,5,8.5,"['Frank Buffay Jr.', 'Dr. Harad', 'Dan', ""Joey's Doctor"", 'Dr. Oberman', 'Alice Knight Buffay', 'The Nurse']",14.164428571428571
86715,1998-10-15,4,The One Where Phoebe Hates PBS,"Joey lands a job with a PBS telethon, which ignites an old hatred Phoebe has towards the network.  Meanwhile, Monica tries to convince Rachel that she's dating someone from work to hide her relationship with Chandler. And Ross finally gets in touch with Emily and they try to work it out.",23,5,8.1,"['Gary Collins', 'Emily Waltham', 'The Stage Manager', 'The PBS Volunteer', 'Gunther']",6.8852
86536,1998-10-29,5,The One with the Kips,"Monica and Chandler plan an Atlantic City getaway in order to have an intimate weekend away from their friends.  Meanwhile, Ross prepares himself to tell Rachel that he can't see her anymore.",23,5,8.6,"['The Hotel Clerk', 'Gunther']",4.6625
86542,1998-11-05,6,The One with the Yeti,"Emily decides that the only way to continue her marriage with Ross is to have him get rid of all traces of Rachel in his apartment.  Meanwhile, Rachel and Monica mistake a hairy neighbor for a yeti.",23,5,8.0,"['Emily Waltham', 'Danny', 'Gunther']",10.533
86544,1998-11-12,7,The One Where Ross Moves In,"Chandler and Joey let Ross move in with them once his marriage to Emily falls apart.  Meanwhile, Phoebe gets involved with the local health inspector and Rachel becomes convinced that Danny is trying to seduce her with mind games.",23,5,8.2,"['Larry', 'Tom', 'Danny', 'Gunther']",7.2775
86548,1998-11-19,8,The One with All the Thanksgivings,"Although the Thanksgiving meal is great, Chandler is still moody over his parent's divorce during the holiday when he was a boy and Ross is depressed about his second divorce. The group reminisces about their worst Thanksgivings in order to cheer them up, and Monica's worst memory is revealed.",23,5,8.5,"['Nora Bing', 'The Doctor', 'Jack Geller', 'Judy Geller', 'The Housekeeper', 'The Paramedic', 'Young Chandler']",13.350285714285715
86551,1998-12-10,9,The One with Ross's Sandwich,"Joey starts to get uncomfortable with protecting Monica and Chandler's secret, especially when it places him in embarrassing situations with the rest of the group. Meanwhile, Ross becomes enraged at work when someone swipes his turkey sandwich. Phoebe and Rachel enroll in a literature class.",23,5,8.6,"['Dr. Ledbetter', 'The Teacher', 'Cynthia', 'The Female Student', 'Gunther']",4.3314
86553,1998-12-17,10,The One with the Inappropriate Sister,"Joey teaches Ross how to be unemployed. Phoebe is working for the Salvation Army during the holidays. Monica is tired of Rachel's obsessing about Danny and asks him to go out with her. Ross convinces Joey to write a play about himself. Phoebe is distressed after finding out that New Yorkers are mean. Rachel meets Danny's sister and is dismayed when the two seem a little too playful. Phoebe vows a return to ""Street Phoebe.""",23,5,8.0,"['Estelle Leonard', 'Krista', 'Bob', 'The Man', 'Danny', 'Ginger', 'Gunther']",4.680142857142856
86558,1999-01-07,11,The One with All the Resolutions,"With the New Year, the friends make New Year's resolutions. Ross resolves to try a new thing every day. Chandler resolves to not make fun of his friends for a week. Joey resolves to learn how to play the guitar, with Phoebe as his teacher. Rachel resolves to give up gossiping. Chandler nearly goes insane holding it all in. Ross is stuck in a sticky situation at his date's apartment, in constricting and hot leather pants. Rachel discovers a big secret (Monica and Chandler) that threatens to spoil her resolution.",23,5,8.7,"['Elizabeth Hornswoggle', 'Ben Geller', 'Gunther']",4.292666666666666
86566,1999-01-21,12,The One with Chandler's Work Laugh,"Monica begins to hang out with Chandler during his work functions, since they don't have to keep their relationship a secret among his coworkers.  However, she learns that Chandler has a second, more annoying personality when he's around his boss.  Meanwhile, Ross learns that Emily is getting remarried and in his grief hooks up with an old nemesis of the gang: Janice.",23,5,8.3,"['Janice', 'Kara', 'Doug', 'Gunther']",10.78525
86571,1999-02-04,13,The One with Joey's Bag,"Phoebe's grandmother dies, and Phoebe is shocked when her father turns up at the funeral. Meanwhile, Rachel gives Joey a ""man's bag"" for an audition, and Chandler is scared to tell Monica he doesn't like her massages.",23,5,8.1,"['Frank Buffay Sr.', 'The Casting Director', 'Gunther']",6.911999999999999
86721,1999-02-11,14,The One Where Everybody Finds Out,"When the friends discover that Ugly Naked Guy is moving out of his apartment, Ross leaps at the opportunity to get his own place again. Phoebe finds out about Monica and Chandler's relationship, and tries to get them to reveal the truth by seducing Chandler.",23,5,9.0,"['Dr. Ledbetter', 'Gunther']",7.4605
86573,1999-02-18,15,The One with the Girl Who Hits Joey,"Joey starts dating Katie, a little girl who packs a mean punch.  When Ross refuses to contribute to the retirement fund of the building's maintenance man, he winds up offending everyone in the building. Meanwhile, Chandler freaks out about his relationship with Monica.",23,5,8.3,"['Steve', 'Katie', 'Guest #1', 'Guest #2', 'Guest #3', 'Gunther']",6.657666666666667
86727,1999-02-25,16,The One with the Cop,"Joey has a dream about Monica and becomes convinced he is in love with her. Meanwhile, Phoebe finds a police badge in Central Perk and uses it to go on missions of mercy. And Ross buys a new sofa but has trouble moving it up the stairs into his new apartment.",23,5,8.5,"['Gary', 'The Smoking Woman', 'The Saleswoman', 'The Salesman', 'Gunther']",9.075399999999998
86574,1999-03-18,17,The One with Rachel's Inadvertent Kiss,"Monica becomes jealous of Phoebe and Gary. Rachel has an awkward encounter when she interviews for a new job. Joey tries to meet a girl living in Ross's building, but has trouble with finding her apartment.",23,5,8.5,"['Gary', 'The Window Woman', 'Mr. Zelner', 'The Man', 'The Little Girl', 'The Old Man', 'Gunther']",7.9121428571428565
86737,1999-04-08,18,The One Where Rachel Smokes,"Rachel decides to start smoking in order to avoid missing important meetings with her boss. Meanwhile, Ben gets offered an audition for a soup commercial, and Joey auditions to be Ben's father during the ad. Also, Monica and Phoebe plan a surprise birthday party for Rachel together, but Monica takes over.",23,5,7.8,"['Kim Clozzi', 'Nancy', 'Carol Willick', 'The Casting Director', 'Kyle', 'Raymond', 'Ben Geller', 'Gunther']",6.5895
86576,1999-04-22,19,The One Where Ross Can't Flirt,"As Joey's Italian-speaking grandmother visits to watch him on TV, Ross has trouble flirting with the pizza delivery girl, and Rachel tries to find an earring of Monica's that she has misplaced.",23,5,8.6,"['Grandma Tribianni', 'Caitlin']",4.601
86577,1999-04-29,20,The One with the Ride Along,"While the guys go on a ride-along with Gary, Rachel accidentally deletes a message from Emily on Ross's answering machine.",23,5,8.3,"['Gary', 'Emily Waltham', 'Gunther']",16.912666666666667
86579,1999-05-06,21,The One with the Ball,"Phoebe learns that Gary is going to ask her to move in with him and thinking this is way to fast, she tries to get Chandler to talk him out of this decision. Rachel buys an expensive sphynx cat but is disappointed when it doesn't behave as she hoped it would. Meanwhile, Ross and Joey start throwing a ball while they are bored but it changes from a time-filler to a super-competitive obsession when Monica joins in.",23,5,8.297,"['Gary', 'Woman #1', 'Gunther']",12.319333333333333
86614,1999-05-13,22,The One with Joey's Big Break,"Joey seems to have finally hit big when he gets offered a lead part in a movie shooting outside of Las Vegas. However, when Chandler begins expressing doubts about the film's legitimacy, it causes a rift in their friendship. Also, Rachel gets an eye infection but is reluctant to seek treatment because of her eye phobia. And Phoebe is mad at Ross, but doesn't know why.",23,5,8.135,"['Stanley', 'Gunther']",7.929
86620,1999-05-20,23,The One in Vegas,"Chandler decides the only way to mend his friendship with Joey is to fly out to Vegas and visit him. Phoebe is determined not to be left out on another adventure, so everyone winds up going. Trouble is in the water, however, when Chandler finds out that Monica had lunch with Richard. Meanwhile, Ross and Rachel try to embarrass each other after an awkward encounter.

Chandler and Monica reconcile and hastily decide to get married. Ross and Rachel get drunk and roam the casino. Phoebe deals with a 'lurker' on the slot machines.",46,5,8.474,"['Randall', 'Airplane Guy', 'Elderly Woman']",13.069333333333333
86757,1999-09-23,1,The One After Vegas,Ross and Rachel experience the world’s worst hangover when they realize they’ve gotten married.  Chandler and Monica back away from their own altar plans.  Phoebe and Joey head back to New York in the taxi cab.,23,6,8.65,"['Gunther', 'Rick']",8.405000000000001
86776,1999-09-30,2,The One Where Ross Hugs Rachel,"Monica and Chandler decide to move in together, leading Rachel to believe that all three of them will be roommates, and Monica doesn't want to tell her the truth.  Meanwhile, Ross tries to keep Rachel from learning that their marriage hasn't been annulled.",22,6,8.27,"['Stephanie', 'Russell', 'Karin', 'Gunther']",5.42575
86782,1999-10-07,3,The One with Ross's Denial,"Monica and Chandler disagree over how to redecorate Rachel's old room. Joey advertises for a ""non-ugly"" roommate. Ross is unwilling to accept that he still has feelings for Rachel.",22,6,8.243,"['The Potential Roommate', 'Gunther']",5.1645
86788,1999-10-14,4,The One Where Joey Loses His Insurance,"Joey's health benefits lapse just as he develops a hernia. Ross is asked to give a lecture at NYU and eager to impress his students, he puts on a fake British accent. Meanwhile, Phoebe gets some bad news from her psychic.",22,6,8.342,"['Director', 'Russell', 'Estelle Leonard', 'Professor', 'Gunther']",5.4392000000000005
1007810,1999-10-21,5,The One with Joey's Porsche,"Ross and Rachel try to get an annulment, but run into some legal obstacles. Joey finds keys to a Porsche in Central Perk and discovers some perks of being a fancy car owner. Meanwhile, Chandler, Monica and Phoebe babysit the triplets.",22,6,8.053,"['Judge', 'Porsche Owner', 'Gunther']",9.143333333333333
86824,1999-11-11,7,The One Where Phoebe Runs,"Now roommates Phoebe and Rachel decide to start running together, but Rachel is embarrassed by Phoebe's odd running style. Joey finds a sexy new female roommate and tries very hard not to flirt with her. Meanwhile, Chandler decides to surprise Monica by cleaning the apartment, but forgets where everything goes. Ross tries to help him remedy the situation.",22,6,8.297,['Janine Lecroix'],10.05
86828,1999-11-18,8,The One with Ross's Teeth,"Ross goes too far while trying to impress a date by over-whitening his teeth. Rachel uses gossip to get her boss to like her after Phoebe supposedly makes out with Ralph Lauren. Meanwhile, Chandler convinces Joey that the changes Janine has introduced to their old apartment is making it too girly.",22,6,8.237,"['Hillary', 'Janine Lecroix', 'Kim Clozzi', 'Gunther']",10.434000000000001
87001,1999-11-25,9,The One Where Ross Got High,"It's Thanksgiving and Monica's parents are coming to visit, which is a problem because, not only they do not like Chandler, they also don't know that he and Monica are living together. Rachel is tasked with making a Thanksgiving dessert, but she does so with mixed results. Meanwhile, Joey and Ross are eager to finish the dinner and leave, because they want to go to a Thanksgiving party with Janine and her dancer friends.",23,6,8.615,"['Janine Lecroix', 'Jack Geller', 'Judy Geller', 'Gunther']",13.4585
86836,1999-12-16,10,The One with the Routine,"Janine gets an invitation to dance on ""Dick Clark's New Year's Rockin' Eve"" and she invites Joey, Monica and Ross to join her. Being huge fans of the show, Monica and Ross get overly excited. At the taping, Joey tries to kiss Janine at midnight and Monica and Ross resurrect their dance routine from high school. Meanwhile, Rachel, Phoebe and Chandler look for Monica's Christmas presents.",22,6,8.256,"['Janine Lecroix', 'Stage Manager', 'Tall Guy', 'Gunther']",7.112500000000001
86845,2000-01-06,11,The One with the Apothecary Table,"Rachel orders an apothecary table from Pottery Barn, which is a problem because Phoebe hates the mass-producing company. After Janine and Joey double date with Chandler and Monica, Janine tells Joey that she thinks the other two are boring. Ross buys a new apothecary table too, which causes problems for Rachel. After a confrontation with Monica and Chandler, Joey breaks up with Janine and she moves out.",22,6,8.184,"['Janine Lecroix', 'Gunther']",9.336
86853,2000-01-13,12,The One with the Joke,"After a joke gets published in Playboy, Chandler and Ross have an argument about who came up with it first. Meanwhile, a wayward remark of Phoebe's leads to trouble between the girls and a broke Joey starts working at Central Perk.",22,6,8.114,"['Woman at the Table', 'Gunther', 'The Customer', 'The Patron']",3.1665
86859,2000-02-03,13,The One with Rachel's Sister (1),"Joey gets in trouble for giving attractive female customers free food at Central Perk. A sick Monica desperately tries to convince Chandler that she's not sick. After her father cuts her off, Rachel's sister Jill comes to town. Rachel encourages her to start an independent life by finding a job and an apartment, but one thing leads to another and Jill ends up asking Ross out on a date. Even though Rachel doesn't want to admit it, she clearly isn't okay with that...",22,6,8.108,"['Waiter in Drag', 'Woman #1', 'Woman #2', 'Jill Green', 'Gunther']",11.9714
86873,2000-02-10,14,The One Where Chandler Can't Cry (2),Chandler admits that he hasn't cried since he was a child. Phoebe discovers that Ursula is starring in porno movies using her name. Rachel desperately tries to stop Ross and Jill from starting a relationship.,23,6,8.211,"['Fan', 'Jill Green', 'Gunther']",17.055
