,Unnamed: 0,id,job,original_name,popularity,air_date,episode_number,Title,overview,runtime,season_number,vote_average,list_of_characters,list_of_popularity,title_len,holiday_episode,sentiment
193,198,87601,"['Director', 'Writer', 'Writer']","['Kevin S. Bright', 'Marta Kauffman', 'David Crane']","[1.519, 5.777, 3.76]",2004-02-05,11.0,The One Where the Stripper Cries,"Joey is a celebrity contestant on ""The $100,000 Pyramid,"" with its actual host, Donny Osmond. Phoebe's bachelorette party features a rather unexpected surprise when the stripper shows up. Chandler and Ross attend a college reunion and flash back to 1987 to reflect on a pact they made when they were in college.",28.0,10.0,9.0,"['Adrienne Turner', 'Missy Goldberg', 'Donny Osmond', 'Leslie Charleson', 'Gene', 'Roy']","[2.079, 27.381, 2.514, 2.122, 3.745, 24.103]",32,0,0.03333333333333333
194,199,87602,"['Writer', 'Director']","['Robert Carlock', 'Kevin S. Bright']","[3.572, 1.519]",2004-02-12,12.0,The One with Phoebe's Wedding,"Phoebe's wedding planner, Monica, makes everyone around her crazy--until Phoebe fires her. Phoebe's big day becomes disastrous as deliveries go awry and New York is hit with the worst snowstorm its seen in 20 years, forcing plans to change. As a substitute for Phoebe's incarcerated father, Joey takes his role much too seriously. Chandler and Ross discover at the rehearsal dinner that neither of them has a part in the wedding; however, Mike needs to replace a groomsman — he lets Phoebe choose one of them, but she gives the job to Rachel.",30.0,10.0,9.0,"['Mike Hanningan', 'Theodore Hannigan', 'Bitsy Hannigan', 'Gunther']","[42.535, 5.734, 3.554, 8.622]",29,0,-0.2828282828282828
195,200,87603,['Director'],['Gary Halvorson'],[2.843],2004-02-19,13.0,The One Where Joey Speaks French,"Joey implores Francophile Phoebe to teach him French before an important audition, but she quickly becomes exasperated. Surrogate mom Erica is visiting town and tells the Bings that the baby's father may be a shovel killer. Ross and Rachel grow closer after her sarcastic father, Dr. Green, suffers a heart attack.",24.0,10.0,8.5,"['Erica', 'Nurse', 'Leonard Green', 'Casting Assistant', 'Director']","[29.614, 3.958, 3.887, 2.391, 1.313]",32,0,0.005555555555555554
196,201,87607,['Director'],['Gary Halvorson'],[2.843],2004-02-26,14.0,The One with Princess Consuela,"Monica and Chandler visit their house, which is in escrow, where Joey is comforted about losing his friends by the 8-year-old girl who presently lives there.  Phoebe learns she can legally change her name to whatever she wants, so she considers something more exotic. Ross gets tenure at his job. Rachel's boss is sitting next to her in a restaurant while she's interviewing for another job.",24.0,10.0,8.7,"['Mike Hanningan', 'Mackenzie', 'James Campbell', 'Clerk', 'Rita', 'Ralph Lauren Employee', ""Maitre D'"", 'Mark Robinson', 'Gunther']","[42.535, 66.653, 7.279, 13.583, 5.347, 2.233, 2.129, 7.515, 8.622]",30,0,0.2333333333333333
197,202,87628,"['Director', 'Writer', 'Writer']","['Gary Halvorson', 'Marta Kauffman', 'David Crane']","[2.843, 5.777, 3.76]",2004-04-22,15.0,The One Where Estelle Dies,"When Rachel makes a startling announcement, Ross secretly schemes to get her former job back for her. Joey is so flustered by all of the upheaval in his friends' lives that Phoebe prevents him from learning about the sudden death of his agent. Monica and Chandler check out the house for sale next door to their new home--and make a stunning discovery.",24.0,10.0,8.8,"['Ellen', 'Mr. Simon', 'Emma Geller-Green (uncredited)', 'Emma Geller-Green (uncredited)', 'Janice']","[18.606, 5.302, 3.654, 9.721, 19.494]",26,0,-0.03295454545454546
198,203,87632,"['Director', 'Writer', 'Writer']","['Kevin S. Bright', 'Marta Kauffman', 'David Crane']","[1.519, 5.777, 3.76]",2004-05-06,17.0,The Last One,"Ross and Phoebe chase Rachel to the airport, but end up at the wrong one. Chandler and Monica finish packing for their move to the suburbs, and Joey loses Chick Jr. and Duck Jr. in the foosball table.

The series finale finds Rachel, Monica, Phoebe, Joey, Chandler and Ross embarking on the next chapters in their lives. The six of them have been there for one another through all the ups and downs of becoming adults. Now it's their last day together, and it's one of momentous events and last-minute surprises. Even as the friends make major decisions, they share a bond that will last forever.",48.0,10.0,9.4,"['Mike Hanningan', 'Erica', 'Gunther']","[42.535, 29.614, 8.622]",12,0,-0.04107142857142858
199,204,87633,"['Director', 'Writer', 'Writer']","['Gary Halvorson', 'Andrew Reich', 'Ted Cohen']","[2.843, 1.788, 3.069]",2004-04-29,16.0,The One with Rachel's Going Away Party,"With Rachel leaving tomorrow, the gang hosts a farewell party for her. She says goodbye to each of her friends individually, except for Ross and he's offended. Monica precisely packs for her new life in the suburbs with Chandler, and they keep a watchful eye on the extremely pregnant Erica, who is in town until the baby arrives.",23.0,10.0,8.661,['Erica'],[29.614],38,0,0.2174242424242424
200,205,87700,"['Director', 'Editor', 'Director of Photography', 'Writer']","['Michael Lembeck', 'David Helfand', 'Mikel Neiers', 'Betsy Borns']","[6.644, 0.98, 1.632, 0.694]",1996-02-15,16.0,The One Where Joey Moves Out,"After having a fight with Chandler, Joey decides to move out. Rachel and Phoebe decide to get tattoos. And, on his birthday, Mr. Geller receives the unsettling news that his best friend and his daughter are dating.",23.0,2.0,8.513,"['Richard Burke', 'Bob', 'Emily', 'Tattoo Artist', 'Arik', 'Jack Geller', 'Judy Geller']","[38.062, 5.559, 2.374, 1.174, 0.6, 21.466, 13.696]",28,0,0.25
201,206,87731,"['Director', 'Editor', 'Director of Photography', 'Teleplay', 'Teleplay', 'Executive Story Editor', 'Executive Story Editor', 'Story']","['Michael Lembeck', 'Stephen Prime', 'Mikel Neiers', 'Scott Silveri', 'Shana Goldberg-Meehan', 'Andrew Reich', 'Ted Cohen', 'Alicia Sky Varinaitis']","[6.644, 0.6, 1.632, 3.0, 1.788, 1.788, 3.069, 0.6]",1998-03-19,16.0,The One with the Fake Party,"With two days left until Emily's departure back to England, Rachel throws a fake party for her, just so that she can see Joshua outside of work. And a pregnant (vegetarian) Phoebe craves meat.",23.0,4.0,8.139,"['Joshua Burgin', 'Emily Waltham', 'Gunther']","[19.207, 14.562, 8.622]",27,0,-0.03333333333333334
202,207,955151,"['Writer', 'Director']","['Wil Calhoun', 'Peter Bonerz']","[1.021, 3.859]",1998-02-05,14.0,The One with Joey's Dirty Day,"After a three-day fishing trip with his dad, Joey is in a jam when he doesn't have time to take a shower before going to the set of Charlton Heston's new movie.  Rachel, continuing to fawn over clothing shopper Joshua, sets Ross up with her boss's niece Emily when she is unable to take her to the opera. And while Chandler is despondent after his breakup with Kathy, the girls take him to a strip club.",23.0,4.0,8.417,"['Mr. Waltham', 'Charlton Heston', 'Joshua Burgin', 'The A.D.', 'The Cigarette Guy', 'Emily Waltham', 'Gunther']","[3.161, 24.031, 19.207, 3.49, 3.598, 14.562, 8.622]",29,0,-0.18181818181818182
