,id,job,original_name,popularity,air_date,episode_number,name,overview,runtime,season_number,vote_average,list_of_characters,average_character_popularity
10,86048,"['Writer', 'Director', 'Director of Photography', 'Editor']","['Bill Lawrence', 'James Burrows', 'Richard Hissong', 'Andy Zall']","[4.865, 5.803, 1.094, 1.62]",1995-02-09,14.0,The One with the Candy Hearts,"Ross's first date in nine years is on Valentine's Day with a beautiful neighbor. Susan and Carol, also out on a romantic date; end up at the same restaurant. Joey sets Chandler up on a blind date. And Phoebe, Rachel and Monica decide to spend the holiday building a boyfriend bonfire in their apartment.",23.0,1.0,8.1,"['Lorraine', 'Fireman Ed', 'Fireman Dave', 'Fireman Charlie', 'Kristen', 'Janice', 'Susan Bunch', 'Carol Willick']",10.42825
11,86060,"['Director', 'Director of Photography', 'Editor']","['Peter Bonerz', 'Richard Hissong', 'Andy Zall']","[3.859, 1.094, 1.62]",1995-03-09,19.0,The One Where the Monkey Gets Away,"The gang searches frantically for Marcel, who slipped out of the apartment while Rachel was baby-sitting him. Just as it looks as though Rachel and Ross might actually spend a romantic evening together, her ex-fiancé barges in and declares his love for her.",23.0,1.0,8.119,"['Mr. Heckles', 'Barry Farber', 'Luisa Gianetti', 'Samantha', 'Tia', 'Gunther']",7.696333333333333
12,86066,"['Director', 'Writer', 'Director of Photography', 'Editor']","['James Burrows', 'Alexa Junge', 'Richard Hissong', 'Andy Zall']","[5.803, 1.388, 1.094, 1.62]",1995-01-05,11.0,The One with Mrs. Bing,"Chandler's romance-novelist mother comes to New York to visit him, and Joey catches her and Ross kissing.",23.0,1.0,7.978,"['Nora Bing', 'Jay Leno', 'Paolo', 'Coma Guy', 'Gunther']",14.1354
13,86067,"['Writer', 'Director', 'Writer', 'Director of Photography', 'Editor']","['Marta Kauffman', 'Michael Lembeck', 'David Crane', 'Richard Hissong', 'Andy Zall']","[5.777, 6.644, 3.76, 1.094, 1.62]",1995-02-23,16.0,The One with Two Parts (1),"Joey falls for Phoebe's twin sister, Ursula, making Phoebe feel neglected. Ross has doubts about parenthood when he attends Lamaze classes with Carol and Susan. Meanwhile, Chandler finds himself between a rock and a hard place, when he is told to fire an employee he is attracted to.",23.0,1.0,7.841,"['Mr. Heckles', 'Nina Bookbinder', 'Jamie Buchman', 'Lamaze Teacher', 'Fran Devanow', 'Mr. Douglas', 'Susan Bunch', 'Carol Willick', 'Gunther']",14.331
14,86068,"['Director', 'Writer', 'Director of Photography', 'Editor']","['Alan Myerson', 'Jeff Greenstein', 'Richard Hissong', 'Andy Zall']","[2.466, 1.251, 1.094, 1.62]",1995-02-16,15.0,The One with the Stoned Guy,"Monica cooks a gourmet meal for a restaurateur looking for a new chef but, unfortunately, he's stoned. After working as a data processing permanent temp for five years, Chandler gets promoted. And Ross has a date with a beautiful colleague.",23.0,1.0,8.182,"['Celia', 'Steve', 'Ms. Tedlock', 'Mr. Douglas', 'Gunther']",8.533199999999999
15,86072,"['Writer', 'Director', 'Writer', 'Director of Photography', 'Editor']","['Marta Kauffman', 'Michael Lembeck', 'David Crane', 'Richard Hissong', 'Andy Zall']","[5.777, 6.644, 3.76, 1.094, 1.62]",1995-02-23,17.0,The One with Two Parts (2),"When Rachel sprains her ankle and has no insurance, she cajoles Monica into trading identities so she can use Monica's coverage. When Phoebe's twin sister, Ursula, breaks Joey's heart, Phoebe tries to fix it.",23.0,1.0,8.256,"['Michael Mitchell', 'Jeffrey Rosen', 'Admissions Nurse', 'Jack Geller', 'Gunther']",17.064799999999998
16,86077,"['Director', 'Writer', 'Director of Photography', 'Editor']","['Alan Myerson', 'Alexa Junge', 'Richard Hissong', 'Andy Zall']","[2.466, 1.388, 1.094, 1.62]",1995-01-19,13.0,The One with the Boobies,"Chandler accidentally sees Rachel wandering around topless after her shower, so Rachel tries to even the score. And no one can stand Phoebe's new boyfriend, an irritating guy named Roger.",23.0,1.0,8.283,"['Gloria Tribianni', 'Ronni', 'Joey Tribianni Sr.', 'Roger']",17.868000000000002
17,86086,"['Director', 'Director of Photography', 'Editor', 'Writer', 'Writer']","['James Burrows', 'Richard Hissong', 'Andy Zall', 'Mike Sikowitz', 'Jeff Astrof']","[5.803, 1.094, 1.62, 1.691, 2.917]",1995-03-02,18.0,The One with All the Poker,"Tired of being referred to by customers as ""Excuse me"" Rachel interviews for a job as an assistant buyer at Saks Fifth Avenue. She also sees another side of the usually docile Ross when the girls face the boys during a not-so-friendly game of poker.",23.0,1.0,8.5,"['Aunt Iris', 'Gunther']",8.6195
18,86090,"['Writer', 'Director of Photography', 'Editor', 'Writer', 'Writer', 'Writer', 'Director']","['Adam Chase', 'Richard Hissong', 'Andy Zall', 'Ira Ungerleider', 'Mike Sikowitz', 'Jeff Astrof', 'Paul Lazarus']","[2.15, 1.094, 1.62, 2.744, 1.691, 2.917, 1.899]",1995-01-12,12.0,The One with the Dozen Lasagnas,"Everyone knows the sex of Ross's baby, except for Ross, who doesn't want to find out until it's born. Monica gives Paolo one of the dozen lasagnas she made for her aunt, who doesn't want them anymore because they've got meat in them.",23.0,1.0,7.826,"['Paolo', 'Roger', 'Jasmine', 'Susan Bunch', 'Carol Willick', 'Gunther']",14.628166666666669
19,86091,['Director'],['Peter Bonerz'],[3.859],1995-04-06,20.0,The One with the Evil Orthodontist,"Rachel and Barry start dating again, which is kind of awkward since he's now engaged to Mindy, who wants Rachel to be her maid of honor. Meanwhile, Chandler goes nuts when a woman he likes won't return his phone calls.",23.0,1.0,8.0,"['Mindy', 'Barry Farber', 'Danielle', 'Bobby', 'Gunther']",8.5778
20,86092,"['Writer', 'Writer', 'Director', 'Writer', 'Director of Photography', 'Editor']","['Marta Kauffman', 'David Crane', 'James Burrows', 'Jeff Greenstein', 'Richard Hissong', 'Andy Zall']","[5.777, 3.76, 5.803, 1.251, 1.094, 1.62]",1995-05-11,23.0,The One with the Birth,"As Monica's biological clock ticks away like a time bomb, Carol goes into labor. Ross, Susan and Phoebe end up getting locked in a closet just as Carol's about to give birth to the baby. And Rachel flirts with an OB/GYN.",23.0,1.0,8.3,"['Roy', 'Dr. Franzblau', 'Lydia', 'Nurse', 'Janitor', 'Susan Bunch', 'Carol Willick']",12.178285714285716
21,86093,"['Writer', 'Director']","['Adam Chase', 'Gail Mancuso']","[2.15, 2.681]",1995-04-27,21.0,The One with the Fake Monica,"When Monica's credit card is stolen, she, along with Phoebe and Rachel, decide to catch the thief. Joey enlists his friends to help him come up with a less ethnic-sounding stage name. And  Ross finds out that Marcel has reached sexual maturity and needs to be with other monkeys.",23.0,1.0,7.881,"['Dr. Baldharar', 'Fake Monica', 'Teacher', 'Judy Geller', 'Gunther']",6.4732
22,86094,"['Director', 'Writer']","['Robby Benson', 'Alexa Junge']","[21.617, 1.388]",1995-05-04,22.0,The One with the Ick Factor,"After losing his virginity to her, Monica's boyfriend reveals that he's a high school senior. When Phoebe temps as Chandler's secretary, she finds out a secret.",23.0,1.0,8.119,"['Ethan', 'Gunther']",5.9545
23,86095,"['Director', 'Director of Photography', 'Editor', 'Writer']","['Kevin S. Bright', 'Richard Hissong', 'Andy Zall', 'Chris Brown']","[1.519, 1.094, 1.62, 0.6]",1995-05-18,24.0,The One Where Rachel Finds Out,"Joey's new girlfriend wants to go to bed with him but he can't, yet. During Rachel's birthday party, Chandler accidentally lets it slip that Ross is in love with her. However, Ross is on his way to China and Rachel can't decide whether she wants to be more than friends with Ross.",23.0,1.0,8.488,"['Melanie', 'Julie', 'Carl', 'Flight Representative']",9.8105
